"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 16:46:43 GMT 2021","Wed Aug 11 16:46:48 GMT 2021","4813","","Add New Customer TestSuite","","","","Add New Customer Testcase",""
"passed","Wed Aug 11 16:46:55 GMT 2021","Wed Aug 11 16:46:55 GMT 2021","577","","Login As Bank Manager Testcase","","","","Verify Login As Customer",""
"passed","Wed Aug 11 16:46:54 GMT 2021","Wed Aug 11 16:46:55 GMT 2021","928","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Verify Login As Bank Manager","Verify Login As Bank Manager",""
"passed","Wed Aug 11 16:46:55 GMT 2021","Wed Aug 11 16:46:55 GMT 2021","583","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Verify Login As Customer","Verify Login As Customer",""
"passed","Wed Aug 11 16:46:52 GMT 2021","Wed Aug 11 16:46:54 GMT 2021","1869","","Login As Bank Manager Testcase","","Login As Bank Manager Testcase","Validate Title of the Page","Validate Title of the Page",""
"failed","Wed Aug 11 16:46:59 GMT 2021","Wed Aug 11 16:47:11 GMT 2021","12202","","Open Account TestSuite","","","","Open Account Testcase",""
"passed","Wed Aug 11 16:46:43 GMT 2021","Wed Aug 11 16:46:48 GMT 2021","4823","","Add New Customer TestSuite","","Add New Customer TestSuite","Add New Customer Testcase","Add New Customer Testcase",""
"failed","Wed Aug 11 16:46:59 GMT 2021","Wed Aug 11 16:47:11 GMT 2021","12200","","Open Account TestSuite","","Open Account TestSuite","Open Account Testcase","Open Account Testcase",""
"passed","Wed Aug 11 16:46:52 GMT 2021","Wed Aug 11 16:46:54 GMT 2021","1850","","Login As Bank Manager Testcase","","","","Validate Title of the Page",""
"passed","Wed Aug 11 16:46:54 GMT 2021","Wed Aug 11 16:46:55 GMT 2021","945","","Login As Bank Manager Testcase","","","","Verify Login As Bank Manager",""
